speaker,dialogue,author,title,comedia
Dentro,¿Enrico?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Muchos cuidados siente el alma, cielo santo. ¿Cúya es voz que tal espanto infunde en el alma mía?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Dentro,¿Enrico?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"A llamar porfía; de mi flaqueza me espanto. A esta parte la voz suena que tanto temor me da. Si es algún preso que está amarrado a la cadena, vive Dios que me da pena.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,Tu desgracia lastimosa siento.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"¡Qué confuso abismo! No me conozco a mí mismo y el corazón no reposa: las alas está batiendo con impulso de temor; Enrico, ¿éste es el valor? Otra vez se oye el estruendo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,"Librarte, Enrico, pretendo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"¿Cómo te puedo creer, voz, si no llego a saber quién eres y adónde estás?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,Pues agora me verás.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,Ya no te quisiera ver.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,No temas.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,Un sudor frío por mis venas se derrama.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,Hoy cobrarás nueva fama.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,Poco de mis fuerzas fío; no te acerques.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,Desvarío es el temer la ocasión.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Sosiégate, corazón.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,¿Ves aquel postigo?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,Sí.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,"Pues salte por él, y ansí no estarás en la prisión.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Quién eres?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,"Salte al momento y no preguntes quién soy, que yo también preso estoy, y que te libres intento.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"¿Qué me dices, pensamiento? ¿Librareme? Claro está; aliento el temor me da de la muerte que me aguarda. Voyme. ¿Mas quién me acobarda? Mas otra voz suena ya.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Al revés me ha aconsejado la voz que en el aire he oído, pues mi paso ha detenido si tú le has acelerado. Que me está bien he escuchado el estar en la prisión.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,"Esa, Enrico, es ilusión que te representa el miedo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Yo he de morir si quedo; quiérome ir, tienes razón.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Que si salgo he de morir, y si quedo viviré, dice la voz que escuché.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,¿Que al fin no te quieres ir?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,Quedarme es mucho mejor.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Demonio,"Atribúyelo a temor; pero, pues tan ciego estás, quédate preso y verás cómo te ha estado peor.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Desapareció la sombra, y confuso me dejó. ¿No es éste el portillo? No. Este prodigio me asombra. ¿Estaba ciego yo, o vi en la pared un portillo? Pero yo me maravillo del gran temor que hay en mí. ¿No pude salirme yo? Sí, bien me pude salir. ¿Pues cómo que he de morir? La voz me atemorizó. Algún gran daño se infiere de lo turbado que estoy. No importa, ya estoy aquí para el mal que me viniere.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Alcaide,"Yo solo tengo de entrar, los demás pueden quedarse. Enrico.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Qué me mandáis?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Alcaide,"En los rigurosos trances se echa de ver el valor, ahora podréis mostrarle. Estad atento.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,Decid.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Alcaide,"Aun no ha mudado el semblante. En el pleito que es entre partes, de la una, el promotor fiscal de su Majestad, ausente, y de la otra, reo acusado, Enrico, por los delitos que tiene en el proceso, por ser matador, facinoroso, incorregible y otras cosas. Vista, etc. Fallamos, que le debemos de condenar, y condenamos, a que sea sacado de la cárcel donde está, con soga a la garganta y pregoneros delante que digan su delito, y sea llevado a la plaza pública, donde estará una horca de tres palos, alta del suelo, en la cual sea ahorcado naturalmente; y ninguna persona sea osada a quitalle della sin nuestra licencia y mandado. Y por esta sentencia difinitiva juzgando, ansí lo pronunciamos y mandamos, etc.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,¿Que aquesto escuchando estoy?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Alcaide,¿Qué dices?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"Mira, ignorante, que eres opuesto muy flaco a mis brazos arrogantes; que si no, yo te hiciera...",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Alcaide,"Nada puede remediarse con arrogancias, Enrico; lo que aquí es más importante es poneros bien con Dios.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Enrico,"¿Y vienes a pedricarme, con leerme la sentencia? Vive Dios, canalla infame, que he de dar fin con vosotros.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
Alcaide,El demonio que te aguarde.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Iii
