speaker,dialogue,author,title,comedia
Dentro,Seguidme por aquí.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Perdonad, padre de mis ojos, el no poder llevaros en mis brazos, aunque en el alma bien sé yo que os llevo. Sígueme tú, Galván.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,Por tierra no podemos escaparnos.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Su centro airado sea sepulcro mío. ¡Ay, padre amado, cuánto siento el dejaros!",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Enrico,"Cobarde soy, Galván, si no te sigo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,¿Dejáronos ya el dinero?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,Ni una blanca nos han dado.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,"¿Pues qué aguardas, majadero?",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,Habémoselo quitado.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,¿Que ellos no lo dieron? Quiero sentenciar a todos tres.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,Ya esperamos ver lo que es.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,De ese roble los colgad.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,"Moved los pies, que seréis fruta extremada en esta selva apartada de todas aves rapantes.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,Desta crueldad no te espantes.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,"Ya no me espanto de nada. Porque verte ayer, señor, ayunar con tal fervor, y en la oración ocupado, en tu Dios arrebatado, pedirle ánimo y fervor para proseguir tu vida en tan grande penitencia y en esta selva escondida verte hoy con tanta violencia, capitán de forajida gente, matar pasajeros tras robarles los dineros, ¿qué más se puede esperar? Ya no me pienso espantar.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,"Pedrisco, los hechos fieros de Enrico imitar pretendo, y aun le quisiera exceder. Perdone Dios si le ofendo, que si uno el fin ha de ser esto es justo y yo me entiendo.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,¿Y si al otro le decían que la escalera rodaba otros que rodar le vían?,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,"¿Y a mí que a Dios adoraba y por santo me tenían en este circunvecino monte, el globo cristalino rompiendo el ángel veloz, me obligase con su voz a dejar tan buen camino dándome el premio tan malo? Pues hoy verá el cielo en mí si en las maldades no igualo a Enrico.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,Triste de ti.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,"Fuego por la vista exhalo. Hoy, fieras que en horizontes y en napolitanos montes hacéis dulce habitación, veréis que mi corazón vence a soberbios Faetontes. Hoy, árboles que plumajes sois de la tierra o salvajes por lo verde que os vestís, el huésped que recibís os hará varios ultrajes. Más que la naturaleza he de hacer por cobrar fama, pues para mayor grandeza he de dar a cada rama cada día una cabeza. Vosotros dais, por ser graves, frutos al hombre suaves; mas yo con tales racimos pienso dar frutos opimos a las voladores aves. En verano y en invierno será vuestro fruto eterno; y si pudiera hacer más, más hiciera.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,Tú te vas gallardamente al infierno.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,Ve y cuélgalos al momento de un roble.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,Voy como el viento.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Paulo,No me repliquéis si acaso ver no queréis el castigo más violento.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,Venid los tres.,Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
Pedrisco,"Yo he de ser verdugo aquí, pues a mi dicha le plugo, para enseñar al verdugo cuando me ahorquen a mí.",Tirso De Molina,El Condenado Por Desconfiado Comedia Famosa,Jornada Ii
